"time","ci","metric.mean_avg_processing_time","metric.mean_count","metric.mean_error_count","metric.mean_error_rate"
"2019-12-03T18:21:00.000Z","Payment Internet Payment Engine","665",,"0",
"2019-12-03T18:21:00.000Z","Payment Merchant Services Fees Push Service","19",,,
"2019-12-03T18:21:00.000Z","Payment Merchant Services Fees Query Service","14",,"0",
"2019-12-03T18:21:00.000Z","Payment Merchant Services Fees Sale Service","6",,,
"2019-12-03T18:21:00.000Z","Payment Merchant Services Fees VoidRefund Service","8",,,
"2019-12-03T18:21:00.000Z","Payment PSS Service","697",,"56",
"2019-12-03T18:21:00.000Z","Payment Processor Service","684",,"96",
"2019-12-03T18:21:00.000Z","Payment Query Service","194",,"8",
"2019-12-03T18:21:00.000Z","Payment Remote Service","95",,"0",
"2019-12-03T18:21:00.000Z","REST Application Facade","0",,,
"2019-12-03T18:21:00.000Z","Red App Center",,,"0",
"2019-12-03T18:21:00.000Z","SHS CCRS Universal Message Broker","50.25022957500726",,,
"2019-12-03T18:21:00.000Z","SRW Sabre Red Workspace","90",,"6.5",
"2019-12-03T18:21:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:21:00.000Z","SSW Service Engine","947",,"227",
"2019-12-03T18:21:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:21:00.000Z","Sabre Geographical Services","13",,,
"2019-12-03T18:21:00.000Z","Sabre Web Services","431",,"5234",
"2019-12-03T18:21:00.000Z","Service Health Portal","515.3589289665856","87","85.33333333333333",
"2019-12-03T18:21:00.000Z","T2 Agent Sales Report","45",,"10",
"2019-12-03T18:21:00.000Z","T2 Data Management Services","79",,"4",
"2019-12-03T18:21:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:21:00.000Z","T2 Electronic Tktng HUB","190",,"75",
"2019-12-03T18:21:00.000Z","T2 Ticketing Domain Services","548",,"60",
"2019-12-03T18:21:00.000Z","T2 Web Services","221",,,"221"
"2019-12-03T18:21:00.000Z","UPSITE","16",,"194",
"2019-12-03T18:21:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","7",,,
"2019-12-03T18:22:00.000Z","ANCS Ancillary Services 1","15",,,
"2019-12-03T18:22:00.000Z","CENTIVA","40",,"16",
"2019-12-03T18:22:00.000Z","CKI Check-In Services","218",,"1381",
"2019-12-03T18:22:00.000Z","CKI Event Manager","207",,"2",
"2019-12-03T18:22:00.000Z","CKI Host Event Handler","215",,"0",
"2019-12-03T18:22:00.000Z","Community Portal","19",,"23",
"2019-12-03T18:22:00.000Z","Content Services Travel Protection XML","1969",,"0",
"2019-12-03T18:22:00.000Z","German Tour","17",,"7",
"2019-12-03T18:22:00.000Z","GetThere GTX2","500",,"45",
"2019-12-03T18:22:00.000Z","Master Configuration Tool",,,"66",
"2019-12-03T18:22:00.000Z","Payment FraudCheck Service","389",,,
"2019-12-03T18:22:00.000Z","Payment Internet Payment Engine","906",,"2",
"2019-12-03T18:22:00.000Z","Payment Merchant Services Fees Push Service","18",,,
"2019-12-03T18:22:00.000Z","Payment Merchant Services Fees Query Service","14",,"0",
"2019-12-03T18:22:00.000Z","Payment Merchant Services Fees Sale Service","7",,,
"2019-12-03T18:22:00.000Z","Payment Merchant Services Fees VoidRefund Service","0",,,
"2019-12-03T18:22:00.000Z","Payment PSS Service","701",,"58",
"2019-12-03T18:22:00.000Z","Payment Processor Service","687",,"119",
"2019-12-03T18:22:00.000Z","Payment Query Service","214",,"14",
"2019-12-03T18:22:00.000Z","Payment Remote Service","41",,"1",
"2019-12-03T18:22:00.000Z","REST Application Facade","0",,,
"2019-12-03T18:22:00.000Z","Red App Center",,,"0",
"2019-12-03T18:22:00.000Z","SHS CCRS Universal Message Broker","49.306041593376214",,,
"2019-12-03T18:22:00.000Z","SRW Sabre Red Workspace","86",,"5.5",
"2019-12-03T18:22:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:22:00.000Z","SSW Service Engine","928",,"252",
"2019-12-03T18:22:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:22:00.000Z","Sabre Geographical Services","5",,,
"2019-12-03T18:22:00.000Z","Sabre Web Services","431",,"5989",
"2019-12-03T18:22:00.000Z","Service Health Portal","559.6375854904337","87.66666666666667","86.33333333333333",
"2019-12-03T18:22:00.000Z","T2 Agent Sales Report","36",,"0",
"2019-12-03T18:22:00.000Z","T2 Data Management Services","83",,"4",
"2019-12-03T18:22:00.000Z","T2 EMD Comp Voucher","184",,,
"2019-12-03T18:22:00.000Z","T2 Electronic Tktng HUB","189",,"65",
"2019-12-03T18:22:00.000Z","T2 Ticketing Domain Services","440",,"54",
"2019-12-03T18:22:00.000Z","T2 Web Services","225",,,"225"
"2019-12-03T18:22:00.000Z","UPSITE","15",,"169",
"2019-12-03T18:22:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","6",,,
"2019-12-03T18:23:00.000Z","ANCS Ancillary Services 1","16",,,
"2019-12-03T18:23:00.000Z","CENTIVA","39",,"23",
"2019-12-03T18:23:00.000Z","CKI Check-In Services","229",,"1723",
"2019-12-03T18:23:00.000Z","CKI Event Manager","174",,"1",
"2019-12-03T18:23:00.000Z","CKI Host Event Handler","197",,"0",
"2019-12-03T18:23:00.000Z","Community Portal","21",,"13",
"2019-12-03T18:23:00.000Z","Content Services Travel Protection XML","823",,"0",
"2019-12-03T18:23:00.000Z","German Tour","24",,"2",
"2019-12-03T18:23:00.000Z","GetThere GTX2","624",,"45",
"2019-12-03T18:23:00.000Z","Master Configuration Tool",,,"67",
"2019-12-03T18:23:00.000Z","Payment FraudCheck Service","304",,,
"2019-12-03T18:23:00.000Z","Payment Internet Payment Engine","718",,"1",
"2019-12-03T18:23:00.000Z","Payment Merchant Services Fees Push Service","19",,,
"2019-12-03T18:23:00.000Z","Payment Merchant Services Fees Query Service","0",,"0",
"2019-12-03T18:23:00.000Z","Payment Merchant Services Fees Sale Service","7",,,
"2019-12-03T18:23:00.000Z","Payment Merchant Services Fees VoidRefund Service","0",,,
"2019-12-03T18:23:00.000Z","Payment PSS Service","693",,"40",
"2019-12-03T18:23:00.000Z","Payment Processor Service","638",,"95",
"2019-12-03T18:23:00.000Z","Payment Query Service","217",,"20",
"2019-12-03T18:23:00.000Z","Payment Remote Service","22",,"0",
"2019-12-03T18:23:00.000Z","REST Application Facade","0",,,
"2019-12-03T18:23:00.000Z","Red App Center",,,"0",
"2019-12-03T18:23:00.000Z","SHS CCRS Universal Message Broker","51.60832339938378",,,
"2019-12-03T18:23:00.000Z","SRW Sabre Red Workspace","79.5",,"7.5",
"2019-12-03T18:23:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:23:00.000Z","SSW Service Engine","937",,"210",
"2019-12-03T18:23:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:23:00.000Z","Sabre Geographical Services","5",,,
"2019-12-03T18:23:00.000Z","Sabre Web Services","428",,"6277",
"2019-12-03T18:23:00.000Z","Service Health Portal","563.5940704413731","87.66666666666667","85.66666666666667",
"2019-12-03T18:23:00.000Z","T2 Agent Sales Report","35",,"2",
"2019-12-03T18:23:00.000Z","T2 Data Management Services","83",,"5",
"2019-12-03T18:23:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:23:00.000Z","T2 Electronic Tktng HUB","180",,"72",
